# Gaussian accelerated Molecular Dynamics log file
# All energy terms are stored in unit of kcal/mol
# ntwx,total_nstep,Unboosted-Total-Energy,Unboosted-Dihedral-Energy,Total-Force-Weight,Dihedral-Force-Weight,Total-Boost-Energy-Potential,Dihedral-Boost-Energy,Total-Effective-Harmonic-Constant,Dihedral-Effective-Harmonic-Constant
	1	500	-35502.133097031496	99.50372110582909	1.0	1.0	0.0	0.0	0.0	0.0
	1	1000	-32019.031379157677	114.47728789652157	1.0	1.0	0.0	0.0	0.0	0.0
	1	1500	-30313.27492906929	113.75965408601296	1.0	1.0	0.0	0.0	0.0	0.0
	1	2000	-29512.833548037008	111.6722487308678	1.0	1.0	0.0	0.0	0.0	0.0
	1	2500	-28832.585682969504	117.47746734091471	1.0	1.0	0.0	0.0	0.0	0.0
	1	3000	-28692.025293835457	119.55830946204365	1.0	1.0	0.0	0.0	0.0	0.0
	1	3500	-28526.026930678123	113.26159705285531	1.0	1.0	0.0	0.0	0.0	0.0
	1	4000	-28453.454692321804	111.77203034706538	1.0	1.0	0.0	0.0	0.0	0.0
	1	4500	-28485.124386921696	118.02490575568856	1.0	1.0	0.0	0.0	0.0	0.0
	1	5000	-28505.878648724785	109.75870216717945	1.0	1.0	0.0	0.0	0.0	0.0
	1	5500	-28413.04514519569	110.23837213490206	1.0	1.0	0.0	0.0	0.0	0.0
	1	6000	-28530.20638773538	113.4498398516266	1.0	1.0	0.0	0.0	0.0	0.0
	1	6500	-28419.356475351	117.12523818699823	1.0	1.0	0.0	0.0	0.0	0.0
	1	7000	-28480.69537675766	117.5652342441186	1.0	1.0	0.0	0.0	0.0	0.0
	1	7500	-28430.043896751748	114.24434700023457	1.0	1.0	0.0	0.0	0.0	0.0
	1	8000	-28331.283171264677	107.50214059650818	1.0	1.0	0.0	0.0	0.0	0.0
	1	8500	-28473.059438965654	111.6281458506346	1.0	1.0	0.0	0.0	0.0	0.0
	1	9000	-28446.035063052415	107.56844928313184	1.0	1.0	0.0	0.0	0.0	0.0
	1	9500	-28352.256690920985	113.03948163637108	1.0	1.0	0.0	0.0	0.0	0.0
	1	10000	-28469.28240786568	108.40395750505346	1.0	1.0	0.0	0.0	0.0	0.0
	1	10500	-28527.788140949644	107.8904374582972	1.0	1.0	0.0	0.0	0.0	0.0
	1	11000	-28510.754268387096	108.85374034884576	1.0	1.0	0.0	0.0	0.0	0.0
	1	11500	-28564.418910500728	112.75377809092699	1.0	1.0	0.0	0.0	0.0	0.0
